cycle,range_bin,doppler_bin,output_hex
1088815000,13,3,fd84fcb5
1088825000,13,4,02d2030b
1088835000,13,5,fee8fb89
1088845000,13,6,fec105c8
1088855000,13,7,0007fd19
1088865000,13,8,ff4dfe4f
1088875000,13,9,02960268
1088885000,13,10,ff7d014c
1088895000,13,11,fcd0fe59
1088905000,13,12,03c4ff6f
1088915000,13,13,fec000d3
1088925000,13,14,ff85ffe0
1088935000,13,15,00b9004d
1090815000,13,16,002b0086
1090825000,13,17,fff00041
1090835000,13,18,fe19fe92
1090845000,13,19,032900db
1090855000,13,20,fd700042
1090865000,13,21,045cfd97
1090875000,13,22,fac00430
1090885000,13,23,0253fe78
1090895000,13,24,ff25ffdc
1090905000,13,25,00e80181
1090915000,13,26,ff47fde2
1090925000,13,27,ff4f01d7
1090935000,13,28,00f4fcec
1090945000,13,29,004c020f
1090955000,13,30,ff7400ac
1090965000,13,31,ffadfebe
1092845000,14,0,0023003a
1092855000,14,1,0028ffe9
1092865000,14,2,ff4b0125
1092875000,14,3,008cfd19
1092885000,14,4,fffc027a
1092895000,14,5,ff66ffa8
1092905000,14,6,ff2e0216
1092915000,14,7,037bfbc5
1092925000,14,8,fc4503f0
1092935000,14,9,0368fd87
1092945000,14,10,fde70071
1092955000,14,11,018a0087
1092965000,14,12,fd8cff28
1092975000,14,13,0162ffcc
1092985000,14,14,00a80170
1092995000,14,15,ff1ffecf
1094875000,14,16,fffe0067
1094885000,14,17,001aff6c
1094895000,14,18,ff80ff69
1094905000,14,19,00b10041
1094915000,14,20,016400af
1094925000,14,21,fdff009b
1094935000,14,22,02a8fe03
1094945000,14,23,fd650433
1094955000,14,24,ff2afd77
1094965000,14,25,01fa011c
1094975000,14,26,fdd80083
1094985000,14,27,028bff0f
1094995000,14,28,ff48fee3
1095005000,14,29,ff9d022d
1095015000,14,30,002cff09
1095025000,14,31,001f0005
1096905000,15,0,ffc2ffb9
1096915000,15,1,008b0011
1096925000,15,2,ff2400e5
1096935000,15,3,fedbfcd3
1096945000,15,4,03ae04cc
1096955000,15,5,fc42fca4
1096965000,15,6,0179022d
1096975000,15,7,0138fd78
1096985000,15,8,fd0c0319
1096995000,15,9,01f3fe19
1097005000,15,10,01a4006d
1097015000,15,11,fe990169
1097025000,15,12,ff88fce6
1097035000,15,13,00b40192
1097045000,15,14,ffb3ff65
1097055000,15,15,ffe80084
1098935000,15,16,005f009e
1098945000,15,17,0068ff64
1098955000,15,18,ff350063
1098965000,15,19,01600004
1098975000,15,20,fdf00063
1098985000,15,21,01b7fee3
1098995000,15,22,fdfbfe59
1099005000,15,23,024d045c
1099015000,15,24,fd61fd34
1099025000,15,25,0426fefe
1099035000,15,26,fd8102af
1099045000,15,27,0040fc42
1099055000,15,28,020c0297
1099065000,15,29,ff0bfff3
1099075000,15,30,000b00b1
1099085000,15,31,ffabfe9e
1100965000,16,0,ffbaffbc
1100975000,16,1,0020ff40
1100985000,16,2,ffa001c0
1100995000,16,3,00abfd80
1101005000,16,4,fff70498
1101015000,16,5,fc4cf8a9
1101025000,16,6,06780711
1101035000,16,7,fd11fe4d
1101045000,16,8,fd4efcd8
1101055000,16,9,03f60208
1101065000,16,10,feaa01de
1101075000,16,11,fe6bfe3a
1101085000,16,12,0331feb8
1101095000,16,13,fe7a025f
1101105000,16,14,ff1efe45
1101115000,16,15,00ed00d1
1102995000,16,16,ffd4002c
1103005000,16,17,0028005b
1103015000,16,18,ff75fdd6
1103025000,16,19,01320267
1103035000,16,20,fe4bfef5
1103045000,16,21,0512ffcd
1103055000,16,22,fa0802e0
1103065000,16,23,02e1fccc
1103075000,16,24,fe1a02b4
1103085000,16,25,0124fe25
1103095000,16,26,012902ba
1103105000,16,27,fe440177
1103115000,16,28,ffe3fa9b
1103125000,16,29,00f602f7
1103135000,16,30,ffcefff0
1103145000,16,31,0035ffc2
1105025000,17,0,ff96ffcd
1105035000,17,1,00690080
1105045000,17,2,fed6ffad
1105055000,17,3,00a6010a
1105065000,17,4,0099fed6
1105075000,17,5,fef0ff42
1105085000,17,6,027903d1
1105095000,17,7,fd4efcbe
1105105000,17,8,ffb40019
1105115000,17,9,03d5fdf4
1105125000,17,10,fcb2062b
1105135000,17,11,ff62fb64
1105145000,17,12,029d004c
1105155000,17,13,ff520086
1105165000,17,14,fea7002f
1105175000,17,15,0102ffb8
1107055000,17,16,ffd0005c
1107065000,17,17,00ee00b5
1107075000,17,18,fea0fdbb
1107085000,17,19,0230016b
1107095000,17,20,fdca00ad
1107105000,17,21,0395fde5
1107115000,17,22,fc7203fb
1107125000,17,23,0117fdee
1107135000,17,24,ff3cffbe
1107145000,17,25,012eff05
1107155000,17,26,010e00c7
1107165000,17,27,fd860315
1107175000,17,28,00aafa81
1107185000,17,29,007b0255
1107195000,17,30,00f0006b
1107205000,17,31,ff87ff2e
1109085000,18,0,ffa10009
1109095000,18,1,ff9dff7b
1109105000,18,2,ff7701c7
1109115000,18,3,0138fd5e
1109125000,18,4,006b0213
1109135000,18,5,fd76feae
1109145000,18,6,02b90135
1109155000,18,7,fe3500a5
1109165000,18,8,ffa3fce1
1109175000,18,9,022d0213
1109185000,18,10,ff4901ad
1109195000,18,11,fe80fe74
1109205000,18,12,0141fed7
1109215000,18,13,00fc0108
1109225000,18,14,fe37003b
1109235000,18,15,0137ff8d
1111115000,18,16,0042ffc4
1111125000,18,17,ffee0085
1111135000,18,18,ff8bfed4
1111145000,18,19,001a01e3
1111155000,18,20,0199fe2f
1111165000,18,21,0001ffd3
1111175000,18,22,002c0356
1111185000,18,23,fcc6fce5
1111195000,18,24,038e001c
1111205000,18,25,fe1203b9
1111215000,18,26,017bfcb4
1111225000,18,27,00540323
1111235000,18,28,fe6ffd45
1111245000,18,29,003b014b
1111255000,18,30,00d6fe96
1111265000,18,31,00000101
1113145000,19,0,ffad0007
1113155000,19,1,0043fff5
1113165000,19,2,fff8006d
1113175000,19,3,0014ffa2
1113185000,19,4,ff33ffaa
1113195000,19,5,0073fea4
1113205000,19,6,01520453
1113215000,19,7,fce0fef4
1113225000,19,8,03b1fad5
1113235000,19,9,fced0515
1113245000,19,10,039cff65
1113255000,19,11,fb2efea2
1113265000,19,12,0427016e
1113275000,19,13,fe41fe6e
1113285000,19,14,008200df
1113295000,19,15,ffdaffb4
1115175000,19,16,ffedfffa
1115185000,19,17,002400f9
1115195000,19,18,003ffd35
1115205000,19,19,ff9802fb
1115215000,19,20,ff8bfcdf
1115225000,19,21,02eb00e7
1115235000,19,22,ff0a0293
1115245000,19,23,fe7300cf
1115255000,19,24,ff85fcfc
1115265000,19,25,00da00d9
1115275000,19,26,0137ff31
1115285000,19,27,febe03c3
1115295000,19,28,0017faf7
1115305000,19,29,001f02e3
1115315000,19,30,00acfefb
1115325000,19,31,ffef0017
1117205000,20,0,ff87ffcf
1117215000,20,1,ffd00017
1117225000,20,2,00e30162
1117235000,20,3,fe9afd75
1117245000,20,4,01a4024c
1117255000,20,5,fedbfc51
1117265000,20,6,013f04b8
1117275000,20,7,fd6cff0c
1117285000,20,8,01f9fbe5
1117295000,20,9,fe98036f
1117305000,20,10,037b0176
1117315000,20,11,faeefe01
1117325000,20,12,0440ff74
1117335000,20,13,fe6500c5
1117345000,20,14,ff9fffdc
1117355000,20,15,00c40002
1119235000,20,16,0009001b
1119245000,20,17,ffcb00bf
1119255000,20,18,ffb2fd1d
1119265000,20,19,011302ac
1119275000,20,20,fea2ff49
1119285000,20,21,02d4ff48
1119295000,20,22,fd790145
1119305000,20,23,01d4ff1e
1119315000,20,24,fed7fee9
1119325000,20,25,00490327
1119335000,20,26,ffc2ff31
1119345000,20,27,ff4701c6
1119355000,20,28,003afa17
1119365000,20,29,00d80306
1119375000,20,30,ffdfffd1
1119385000,20,31,003affd4
1121265000,21,0,000affa8
1121275000,21,1,ffa0ff70
1121285000,21,2,01af013e
1121295000,21,3,fdd2ff15
1121305000,21,4,00f00117
1121315000,21,5,0027fb28
1121325000,21,6,00a00677
1121335000,21,7,fe2afcda
1121345000,21,8,0040fee2
1121355000,21,9,004c01e8
1121365000,21,10,ff5d0036
1121375000,21,11,00c0ffc1
1121385000,21,12,00de00ab
1121395000,21,13,fef5ff80
1121405000,21,14,0094ff21
1121415000,21,15,ffe400f8
1123295000,21,16,ffeb0031
1123305000,21,17,0108ffed
1123315000,21,18,fdab0038
1123325000,21,19,01edff77
1123335000,21,20,fe7e0132
1123345000,21,21,0246fdb1
1123355000,21,22,fe9801b1
1123365000,21,23,fd43020d
1123375000,21,24,0181fc1b
1123385000,21,25,023a0169
1123395000,21,26,ffc30190
1123405000,21,27,0003fe95
1123415000,21,28,fece008e
1123425000,21,29,00bcffd9
1123435000,21,30,ffda011b
1123445000,21,31,ffa1ff17
1125325000,22,0,ffa0ff7e
1125335000,22,1,011d00e0
1125345000,22,2,fea0ff5e
1125355000,22,3,01d900ed
1125365000,22,4,fe49fe17
1125375000,22,5,01c9fed0
1125385000,22,6,fda903b1
1125395000,22,7,02b1fe8d
1125405000,22,8,fb42fe88
1125415000,22,9,04cbffd0
1125425000,22,10,fe400334
1125435000,22,11,fe57fe2b
1125445000,22,12,0251ff7f
1125455000,22,13,feff0164
1125465000,22,14,002bff21
1125475000,22,15,003f0077
1127355000,22,16,000100cf
1127365000,22,17,0013fef6
1127375000,22,18,ff67002c
1127385000,22,19,fff0ffad
1127395000,22,20,00efffbc
1127405000,22,21,015a00f9
1127415000,22,22,fc7efee7
1127425000,22,23,02d802c6
1127435000,22,24,fd95fec3
1127445000,22,25,0313fd8c
1127455000,22,26,fc610470
1127465000,22,27,00b6fbab
1127475000,22,28,003f0176
1127485000,22,29,0134ffb1
1127495000,22,30,ff3600a1
1127505000,22,31,ffaeff4e
1129385000,23,0,ffd7ff9f
1129395000,23,1,00870061
1129405000,23,2,fdd5fff1
1129415000,23,3,0290ffeb
1129425000,23,4,fff800aa
1129435000,23,5,fc9ffd06
1129445000,23,6,02c904d3
1129455000,23,7,007dfedb
1129465000,23,8,fc29ff2f
1129475000,23,9,06c3fde5
1129485000,23,10,fc31049b
1129495000,23,11,0046fc4f
